session_id,variant,converted,revenue,items,upsell,cross_sell
S0130,control,0,0.0,0,0,0
S0131,control,0,0.0,0,0,0
S0132,control,0,0.0,0,0,0
S0133,control,0,0.0,0,0,0
S0134,control,0,0.0,0,0,0
S0135,control,0,0.0,0,0,0
S0136,control,0,0.0,0,0,0
S0137,control,0,0.0,0,0,0
S0138,control,1,41671.13,1,0,0
S0139,control,0,0.0,0,0,0
S0140,control,0,0.0,0,0,0
S0141,control,0,0.0,0,0,0
S0142,control,1,52662.13,1,0,0
S0143,control,0,0.0,0,0,0
S0144,control,0,0.0,0,0,0
S0145,control,0,0.0,0,0,0
S0146,control,0,0.0,0,0,0
S0147,control,0,0.0,0,0,0
S0148,control,0,0.0,0,0,0
S0149,control,0,0.0,0,0,0
S0150,control,0,0.0,0,0,0
S0151,control,0,0.0,0,0,0
S0152,control,0,0.0,0,0,0
S0153,control,0,0.0,0,0,0
S0154,control,0,0.0,0,0,0
S0155,control,0,0.0,0,0,0
S0156,control,0,0.0,0,0,0
S0157,control,0,0.0,0,0,0
S0158,control,0,0.0,0,0,0
S0159,control,0,0.0,0,0,0
S0160,control,0,0.0,0,0,0
S0161,control,0,0.0,0,0,0
S0162,control,0,0.0,0,0,0
S0163,control,0,0.0,0,0,0
S0164,control,0,0.0,0,0,0
S0165,control,0,0.0,0,0,0
S0166,control,0,0.0,0,0,0
S0167,control,0,0.0,0,0,0
S0168,control,0,0.0,0,0,0
S0169,control,0,0.0,0,0,0
S0170,control,0,0.0,0,0,0
S0171,control,0,0.0,0,0,0
S0172,control,0,0.0,0,0,0
S0173,control,0,0.0,0,0,0
S0174,control,0,0.0,0,0,0
S0175,control,0,0.0,0,0,0
S0176,control,0,0.0,0,0,0
S0177,control,0,0.0,0,0,0
S0178,control,0,0.0,0,0,0
S0179,control,0,0.0,0,0,0
S0180,control,1,48284.75,1,0,0
S0181,control,0,0.0,0,0,0
S0182,control,0,0.0,0,0,0
S0183,control,0,0.0,0,0,0
S0184,control,0,0.0,0,0,0
S0185,control,0,0.0,0,0,0
S0186,control,0,0.0,0,0,0
S0187,control,0,0.0,0,0,0
S0188,control,0,0.0,0,0,0
S0189,control,0,0.0,0,0,0
S0190,control,0,0.0,0,0,0
S0191,control,0,0.0,0,0,0
S0192,control,0,0.0,0,0,0
S0193,control,0,0.0,0,0,0
S0194,control,0,0.0,0,0,0
S0195,control,0,0.0,0,0,0
S0196,control,0,0.0,0,0,0
S0197,control,0,0.0,0,0,0
S0198,control,0,0.0,0,0,0
S0199,control,0,0.0,0,0,0
S0200,control,1,54678.72,1,0,0
S0201,control,0,0.0,0,0,0
S0202,control,0,0.0,0,0,0
S0203,control,0,0.0,0,0,0
S0204,control,0,0.0,0,0,0
S0205,control,0,0.0,0,0,0
S0206,control,0,0.0,0,0,0
S0207,control,0,0.0,0,0,0
S0208,control,0,0.0,0,0,0
S0209,control,0,0.0,0,0,0
S0210,control,0,0.0,0,0,0
S0211,control,0,0.0,0,0,0
S0212,control,0,0.0,0,0,0
S0213,control,0,0.0,0,0,0
S0214,control,0,0.0,0,0,0
S0215,control,0,0.0,0,0,0
S0216,control,0,0.0,0,0,0
S0217,control,0,0.0,0,0,0
S0218,control,0,0.0,0,0,0
S0219,control,0,0.0,0,0,0
S0220,control,0,0.0,0,0,0
S0221,control,0,0.0,0,0,0
S0222,control,0,0.0,0,0,0
S0223,control,0,0.0,0,0,0
S0224,control,0,0.0,0,0,0
S0225,control,0,0.0,0,0,0
S0226,control,0,0.0,0,0,0
S0227,control,0,0.0,0,0,0
S0228,control,0,0.0,0,0,0
S0229,control,0,0.0,0,0,0
S0230,control,1,52613.13,1,0,0
S0231,control,0,0.0,0,0,0
S0232,control,0,0.0,0,0,0
S0233,control,0,0.0,0,0,0
S0234,control,0,0.0,0,0,0
S0235,control,0,0.0,0,0,0
S0236,control,0,0.0,0,0,0
S0237,control,0,0.0,0,0,0
S0238,control,0,0.0,0,0,0
S0239,control,0,0.0,0,0,0
S0240,control,0,0.0,0,0,0
S0241,control,0,0.0,0,0,0
S0242,control,0,0.0,0,0,0
S0243,control,0,0.0,0,0,0
S0244,control,0,0.0,0,0,0
S0245,control,0,0.0,0,0,0
S0246,control,0,0.0,0,0,0
S0247,control,0,0.0,0,0,0
S0248,control,0,0.0,0,0,0
S0249,control,0,0.0,0,0,0
S0250,control,0,0.0,0,0,0
S0251,control,0,0.0,0,0,0
S0252,control,1,54145.71,1,0,0
S0253,control,0,0.0,0,0,0
S0254,control,0,0.0,0,0,0
S0255,control,0,0.0,0,0,0
S0256,control,0,0.0,0,0,0
S0257,control,0,0.0,0,0,0
S0258,control,0,0.0,0,0,0
S0259,control,0,0.0,0,0,0
S0260,control,0,0.0,0,0,0
S0261,control,0,0.0,0,0,0
S0262,control,1,41239.14,1,0,0
S0263,control,0,0.0,0,0,0
S0264,control,1,48812.29,1,0,0
S0265,control,0,0.0,0,0,0
S0266,control,0,0.0,0,0,0
S0267,control,0,0.0,0,0,0
S0268,control,0,0.0,0,0,0
S0269,control,0,0.0,0,0,0
S0270,control,0,0.0,0,0,0
S0271,control,0,0.0,0,0,0
S0272,control,0,0.0,0,0,0
S0273,control,0,0.0,0,0,0
S0274,control,0,0.0,0,0,0
S0275,control,0,0.0,0,0,0
S0276,control,0,0.0,0,0,0
S0277,control,0,0.0,0,0,0
S0278,control,0,0.0,0,0,0
S0279,control,0,0.0,0,0,0
S0280,control,0,0.0,0,0,0
S0281,control,0,0.0,0,0,0
S0282,control,0,0.0,0,0,0
S0283,control,0,0.0,0,0,0
S0284,control,0,0.0,0,0,0
S0285,control,0,0.0,0,0,0
S0286,control,0,0.0,0,0,0
S0287,control,0,0.0,0,0,0
S0288,control,1,53961.25,1,0,0
S0289,control,0,0.0,0,0,0
S0290,control,0,0.0,0,0,0
S0291,control,0,0.0,0,0,0
S0292,control,0,0.0,0,0,0
S0293,control,0,0.0,0,0,0
S0294,control,0,0.0,0,0,0
S0295,control,0,0.0,0,0,0
S0296,control,0,0.0,0,0,0
S0297,control,0,0.0,0,0,0
S0298,control,0,0.0,0,0,0
S0299,control,0,0.0,0,0,0
S0300,control,0,0.0,0,0,0
S0301,control,0,0.0,0,0,0
S0302,control,0,0.0,0,0,0
S0303,control,0,0.0,0,0,0
S0304,control,0,0.0,0,0,0
S0305,control,0,0.0,0,0,0
S0306,control,0,0.0,0,0,0
S0307,control,0,0.0,0,0,0
S0308,control,0,0.0,0,0,0
S0309,control,1,40842.73,1,0,0
S0310,control,0,0.0,0,0,0
S0311,control,0,0.0,0,0,0
S0312,control,0,0.0,0,0,0
S0313,control,0,0.0,0,0,0
S0314,control,0,0.0,0,0,0
S0315,control,0,0.0,0,0,0
S0316,control,0,0.0,0,0,0
S0317,control,0,0.0,0,0,0
S0318,control,0,0.0,0,0,0
S0319,control,0,0.0,0,0,0
S0320,control,0,0.0,0,0,0
S0321,control,0,0.0,0,0,0
S0322,control,0,0.0,0,0,0
S0323,control,0,0.0,0,0,0
S0324,control,0,0.0,0,0,0
S0325,control,0,0.0,0,0,0
S0326,control,0,0.0,0,0,0
S0327,control,0,0.0,0,0,0
S0328,control,0,0.0,0,0,0
S0329,control,0,0.0,0,0,0
S0330,control,0,0.0,0,0,0
S0331,control,0,0.0,0,0,0
S0332,control,1,40762.1,1,0,0
S0333,control,0,0.0,0,0,0
S0334,control,0,0.0,0,0,0
S0335,control,0,0.0,0,0,0
S0336,control,0,0.0,0,0,0
S0337,control,0,0.0,0,0,0
S0338,control,0,0.0,0,0,0
S0339,control,0,0.0,0,0,0
S0340,control,0,0.0,0,0,0
S0341,control,0,0.0,0,0,0
S0342,control,0,0.0,0,0,0
S0343,control,0,0.0,0,0,0
S0344,control,0,0.0,0,0,0
S0345,control,0,0.0,0,0,0
S0346,control,1,43640.57,1,0,0
S0347,control,0,0.0,0,0,0
S0348,control,0,0.0,0,0,0
S0349,control,0,0.0,0,0,0
S0350,control,1,50295.21,1,0,0
S0351,control,0,0.0,0,0,0
S0352,control,0,0.0,0,0,0
S0353,control,0,0.0,0,0,0
S0354,control,0,0.0,0,0,0
S0355,control,0,0.0,0,0,0
S0356,control,0,0.0,0,0,0
S0357,control,0,0.0,0,0,0
S0358,control,0,0.0,0,0,0
S0359,control,0,0.0,0,0,0
S0360,control,0,0.0,0,0,0
S0361,control,1,36761.2,1,0,0
S0362,control,0,0.0,0,0,0
S0363,control,0,0.0,0,0,0
S0364,control,0,0.0,0,0,0
S0365,control,0,0.0,0,0,0
S0366,control,0,0.0,0,0,0
S0367,control,0,0.0,0,0,0
S0368,control,0,0.0,0,0,0
S0369,control,0,0.0,0,0,0
S0370,control,0,0.0,0,0,0
S0371,control,0,0.0,0,0,0
S0372,control,0,0.0,0,0,0
S0373,control,0,0.0,0,0,0
S0374,control,0,0.0,0,0,0
S0375,control,0,0.0,0,0,0
S0376,control,0,0.0,0,0,0
S0377,control,0,0.0,0,0,0
S0378,control,0,0.0,0,0,0
S0379,control,0,0.0,0,0,0
S0380,control,0,0.0,0,0,0
S0381,control,0,0.0,0,0,0
S0382,control,0,0.0,0,0,0
S0383,control,0,0.0,0,0,0
S0384,control,0,0.0,0,0,0
S0385,control,0,0.0,0,0,0
S0386,control,0,0.0,0,0,0
S0387,control,0,0.0,0,0,0
S0388,control,0,0.0,0,0,0
S0389,control,0,0.0,0,0,0
S0390,control,0,0.0,0,0,0
S0391,control,0,0.0,0,0,0
S0392,control,0,0.0,0,0,0
S0393,control,0,0.0,0,0,0
S0394,control,0,0.0,0,0,0
S0395,control,0,0.0,0,0,0
S0396,control,0,0.0,0,0,0
S0397,control,0,0.0,0,0,0
S0398,control,0,0.0,0,0,0
S0399,control,0,0.0,0,0,0
S0400,control,1,45045.82,1,0,0
S0401,control,0,0.0,0,0,0
S0402,control,0,0.0,0,0,0
S0403,control,0,0.0,0,0,0
S0404,control,0,0.0,0,0,0
S0405,control,0,0.0,0,0,0
S0406,control,0,0.0,0,0,0
S0407,control,0,0.0,0,0,0
S0408,control,0,0.0,0,0,0
S0409,control,0,0.0,0,0,0
S0410,control,0,0.0,0,0,0
S0411,control,0,0.0,0,0,0
S0412,control,1,36368.41,1,0,0
S0413,control,0,0.0,0,0,0
S0414,control,0,0.0,0,0,0
S0415,control,0,0.0,0,0,0
S0416,control,0,0.0,0,0,0
S0417,control,0,0.0,0,0,0
S0418,control,0,0.0,0,0,0
S0419,control,0,0.0,0,0,0
S0420,control,0,0.0,0,0,0
S0421,control,0,0.0,0,0,0
S0422,control,1,52416.79,1,0,0
S0423,control,0,0.0,0,0,0
S0424,control,0,0.0,0,0,0
S0425,control,0,0.0,0,0,0
S0426,control,0,0.0,0,0,0
S0427,control,0,0.0,0,0,0
S0428,control,1,53904.71,1,0,0
S0429,control,0,0.0,0,0,0
S0430,control,0,0.0,0,0,0
S0431,control,0,0.0,0,0,0
S0432,control,0,0.0,0,0,0
S0433,control,0,0.0,0,0,0
S0434,control,0,0.0,0,0,0
S0435,control,0,0.0,0,0,0
S0436,control,0,0.0,0,0,0
S0437,control,0,0.0,0,0,0
S0438,control,1,47128.13,1,0,0
S0439,control,0,0.0,0,0,0
S0440,control,0,0.0,0,0,0
S0441,control,0,0.0,0,0,0
S0442,control,0,0.0,0,0,0
S0443,control,0,0.0,0,0,0
S0444,control,0,0.0,0,0,0
S0445,control,0,0.0,0,0,0
S0446,control,1,50772.21,1,0,0
S0447,control,0,0.0,0,0,0
S0448,control,0,0.0,0,0,0
S0449,control,0,0.0,0,0,0
S0450,control,0,0.0,0,0,0
S0451,control,0,0.0,0,0,0
S0452,control,0,0.0,0,0,0
S0453,control,0,0.0,0,0,0
S0454,control,0,0.0,0,0,0
S0455,control,0,0.0,0,0,0
S0456,control,0,0.0,0,0,0
S0457,control,0,0.0,0,0,0
S0458,control,0,0.0,0,0,0
S0459,control,0,0.0,0,0,0
S0460,control,0,0.0,0,0,0
S0461,control,0,0.0,0,0,0
S0462,control,0,0.0,0,0,0
S0463,control,0,0.0,0,0,0
S0464,control,0,0.0,0,0,0
S0465,control,0,0.0,0,0,0
S0466,control,0,0.0,0,0,0
S0467,control,0,0.0,0,0,0
S0468,control,0,0.0,0,0,0
S0469,control,1,51477.11,1,0,0
S0470,control,0,0.0,0,0,0
S0471,control,1,35744.24,1,0,0
S0472,control,0,0.0,0,0,0
S0473,control,0,0.0,0,0,0
S0474,control,0,0.0,0,0,0
S0475,control,0,0.0,0,0,0
S0476,control,0,0.0,0,0,0
S0477,control,0,0.0,0,0,0
S0478,control,0,0.0,0,0,0
S0479,control,0,0.0,0,0,0
S0480,control,0,0.0,0,0,0
S0481,control,0,0.0,0,0,0
S0482,control,0,0.0,0,0,0
S0483,control,0,0.0,0,0,0
S0484,control,0,0.0,0,0,0
S0485,control,0,0.0,0,0,0
S0486,control,0,0.0,0,0,0
S0487,control,0,0.0,0,0,0
S0488,control,0,0.0,0,0,0
S0489,control,1,41670.18,1,0,0
S0490,control,0,0.0,0,0,0
S0491,control,0,0.0,0,0,0
S0492,control,0,0.0,0,0,0
S0493,control,0,0.0,0,0,0
S0494,control,0,0.0,0,0,0
S0495,control,0,0.0,0,0,0
S0496,control,0,0.0,0,0,0
S0497,control,0,0.0,0,0,0
S0498,control,0,0.0,0,0,0
S0499,control,0,0.0,0,0,0
S0500,control,0,0.0,0,0,0
S0501,ai,0,0.0,0,0,0
S0502,ai,0,0.0,0,0,0
S0503,ai,1,47944.81,1,0,0
S0504,ai,0,0.0,0,0,0
S0505,ai,1,61645.84,1,0,0
S0506,ai,0,0.0,0,0,0
S0507,ai,0,0.0,0,0,0
S0508,ai,0,0.0,0,0,0
S0509,ai,0,0.0,0,0,0
S0510,ai,0,0.0,0,0,0
S0511,ai,0,0.0,0,0,0
S0512,ai,0,0.0,0,0,0
S0513,ai,0,0.0,0,0,0
S0514,ai,0,0.0,0,0,0
S0515,ai,0,0.0,0,0,0
S0516,ai,0,0.0,0,0,0
S0517,ai,0,0.0,0,0,0
S0518,ai,0,0.0,0,0,0
S0519,ai,0,0.0,0,0,0
S0520,ai,0,0.0,0,0,0
S0521,ai,0,0.0,0,0,0
S0522,ai,0,0.0,0,0,0
S0523,ai,0,0.0,0,0,0
S0524,ai,0,0.0,0,0,0
S0525,ai,1,40670.54,1,0,0
S0526,ai,0,0.0,0,0,0
S0527,ai,0,0.0,0,0,0
S0528,ai,0,0.0,0,0,0
S0529,ai,0,0.0,0,0,0
S0530,ai,0,0.0,0,0,0
S0531,ai,0,0.0,0,0,0
S0532,ai,0,0.0,0,0,0
S0533,ai,0,0.0,0,0,0
S0534,ai,0,0.0,0,0,0
S0535,ai,1,56677.26,1,0,0
S0536,ai,0,0.0,0,0,0
S0537,ai,0,0.0,0,0,0
S0538,ai,0,0.0,0,0,0
S0539,ai,1,64692.66,1,0,0
S0540,ai,0,0.0,0,0,0
S0541,ai,0,0.0,0,0,0
S0542,ai,0,0.0,0,0,0
S0543,ai,0,0.0,0,0,0
S0544,ai,0,0.0,0,0,0
S0545,ai,1,49899.18,1,0,0
S0546,ai,0,0.0,0,0,0
S0547,ai,0,0.0,0,0,0
S0548,ai,1,37470.92,1,0,0
S0549,ai,0,0.0,0,0,0
S0550,ai,0,0.0,0,0,0
S0551,ai,0,0.0,0,0,0
S0552,ai,1,46685.54,1,0,0
S0553,ai,0,0.0,0,0,0
S0554,ai,0,0.0,0,0,0
S0555,ai,1,48326.28,1,0,0
S0556,ai,0,0.0,0,0,0
S0557,ai,0,0.0,0,0,0
S0558,ai,1,48277.88,1,0,0
S0559,ai,1,52787.7,1,0,0
S0560,ai,0,0.0,0,0,0
S0561,ai,0,0.0,0,0,0
S0562,ai,0,0.0,0,0,0
S0563,ai,1,49808.15,1,0,0
S0564,ai,1,55046.09,1,0,0
S0565,ai,0,0.0,0,0,0
S0566,ai,0,0.0,0,0,0
S0567,ai,0,0.0,0,0,0
S0568,ai,1,60979.33,3,1,1
S0569,ai,0,0.0,0,0,0
S0570,ai,0,0.0,0,0,0
S0571,ai,0,0.0,0,0,0
S0572,ai,0,0.0,0,0,0
S0573,ai,1,62507.21,1,0,0
S0574,ai,0,0.0,0,0,0
S0575,ai,0,0.0,0,0,0
S0576,ai,0,0.0,0,0,0
S0577,ai,0,0.0,0,0,0
S0578,ai,0,0.0,0,0,0
S0579,ai,0,0.0,0,0,0
S0580,ai,0,0.0,0,0,0
S0581,ai,0,0.0,0,0,0
S0582,ai,0,0.0,0,0,0
S0583,ai,0,0.0,0,0,0
S0584,ai,1,51387.88,1,0,0
S0585,ai,0,0.0,0,0,0
S0586,ai,0,0.0,0,0,0
S0587,ai,0,0.0,0,0,0
S0588,ai,1,49942.97,3,1,1
S0589,ai,1,48391.49,1,0,0
S0590,ai,0,0.0,0,0,0
S0591,ai,0,0.0,0,0,0
S0592,ai,0,0.0,0,0,0
S0593,ai,0,0.0,0,0,0
S0594,ai,0,0.0,0,0,0
S0595,ai,0,0.0,0,0,0
S0596,ai,0,0.0,0,0,0
S0597,ai,0,0.0,0,0,0
S0598,ai,0,0.0,0,0,0
S0599,ai,1,65269.15,3,1,1
S0600,ai,0,0.0,0,0,0
S0601,ai,0,0.0,0,0,0
S0602,ai,0,0.0,0,0,0
S0603,ai,0,0.0,0,0,0
S0604,ai,0,0.0,0,0,0
S0605,ai,0,0.0,0,0,0
S0606,ai,0,0.0,0,0,0
S0607,ai,0,0.0,0,0,0
S0608,ai,0,0.0,0,0,0
S0609,ai,0,0.0,0,0,0
S0610,ai,0,0.0,0,0,0
S0611,ai,1,48683.64,3,1,1
S0612,ai,0,0.0,0,0,0
S0613,ai,1,52217.34,2,1,1
S0614,ai,0,0.0,0,0,0
S0615,ai,0,0.0,0,0,0
S0616,ai,0,0.0,0,0,0
S0617,ai,1,49893.09,1,0,0
S0618,ai,0,0.0,0,0,0
S0619,ai,0,0.0,0,0,0
S0620,ai,0,0.0,0,0,0
S0621,ai,0,0.0,0,0,0
S0622,ai,0,0.0,0,0,0
S0623,ai,0,0.0,0,0,0
S0624,ai,0,0.0,0,0,0
S0625,ai,0,0.0,0,0,0
S0626,ai,0,0.0,0,0,0
S0627,ai,0,0.0,0,0,0
S0628,ai,0,0.0,0,0,0
S0629,ai,0,0.0,0,0,0
S0630,ai,0,0.0,0,0,0
S0631,ai,1,42497.95,1,0,0
S0632,ai,1,64074.31,1,0,0
S0633,ai,0,0.0,0,0,0
S0634,ai,0,0.0,0,0,0
S0635,ai,1,46900.76,3,1,1
S0636,ai,0,0.0,0,0,0
S0637,ai,1,49188.21,1,0,0
S0638,ai,0,0.0,0,0,0
S0639,ai,0,0.0,0,0,0
S0640,ai,1,40782.61,1,0,0
S0641,ai,1,46022.46,2,1,1
S0642,ai,0,0.0,0,0,0
S0643,ai,1,58198.26,1,0,0
S0644,ai,0,0.0,0,0,0
S0645,ai,1,52861.96,3,1,1
S0646,ai,1,55415.1,1,0,0
S0647,ai,0,0.0,0,0,0
S0648,ai,0,0.0,0,0,0
S0649,ai,0,0.0,0,0,0
S0650,ai,0,0.0,0,0,0
S0651,ai,0,0.0,0,0,0
S0652,ai,0,0.0,0,0,0
S0653,ai,0,0.0,0,0,0
S0654,ai,0,0.0,0,0,0
S0655,ai,0,0.0,0,0,0
S0656,ai,0,0.0,0,0,0
S0657,ai,0,0.0,0,0,0
S0658,ai,1,56304.74,1,0,0
S0659,ai,0,0.0,0,0,0
S0660,ai,0,0.0,0,0,0
S0661,ai,0,0.0,0,0,0
S0662,ai,0,0.0,0,0,0
S0663,ai,0,0.0,0,0,0
S0664,ai,0,0.0,0,0,0
S0665,ai,0,0.0,0,0,0
S0666,ai,0,0.0,0,0,0
S0667,ai,0,0.0,0,0,0
S0668,ai,0,0.0,0,0,0
S0669,ai,0,0.0,0,0,0
S0670,ai,0,0.0,0,0,0
S0671,ai,0,0.0,0,0,0
S0672,ai,0,0.0,0,0,0
S0673,ai,0,0.0,0,0,0
S0674,ai,0,0.0,0,0,0
S0675,ai,0,0.0,0,0,0
S0676,ai,0,0.0,0,0,0
S0677,ai,0,0.0,0,0,0
S0678,ai,0,0.0,0,0,0
S0679,ai,0,0.0,0,0,0
S0680,ai,0,0.0,0,0,0
S0681,ai,0,0.0,0,0,0
S0682,ai,0,0.0,0,0,0
S0683,ai,0,0.0,0,0,0
S0684,ai,0,0.0,0,0,0
S0685,ai,0,0.0,0,0,0
S0686,ai,0,0.0,0,0,0
S0687,ai,0,0.0,0,0,0
S0688,ai,0,0.0,0,0,0
S0689,ai,1,42350.76,1,0,0
S0690,ai,0,0.0,0,0,0
S0691,ai,0,0.0,0,0,0
S0692,ai,0,0.0,0,0,0
S0693,ai,1,55915.8,1,0,0
S0694,ai,0,0.0,0,0,0
S0695,ai,0,0.0,0,0,0
S0696,ai,0,0.0,0,0,0
S0697,ai,0,0.0,0,0,0
S0698,ai,0,0.0,0,0,0
S0699,ai,0,0.0,0,0,0
S0700,ai,1,61865.82,2,1,1
S0701,ai,0,0.0,0,0,0
S0702,ai,0,0.0,0,0,0
S0703,ai,0,0.0,0,0,0
S0704,ai,0,0.0,0,0,0
S0705,ai,0,0.0,0,0,0
S0706,ai,0,0.0,0,0,0
S0707,ai,0,0.0,0,0,0
S0708,ai,0,0.0,0,0,0
S0709,ai,0,0.0,0,0,0
S0710,ai,1,53550.91,1,0,0
S0711,ai,0,0.0,0,0,0
S0712,ai,0,0.0,0,0,0
S0713,ai,0,0.0,0,0,0
S0714,ai,0,0.0,0,0,0
S0715,ai,0,0.0,0,0,0
S0716,ai,0,0.0,0,0,0
S0717,ai,0,0.0,0,0,0
S0718,ai,0,0.0,0,0,0
S0719,ai,1,40862.96,2,1,1
S0720,ai,0,0.0,0,0,0
S0721,ai,0,0.0,0,0,0
S0722,ai,0,0.0,0,0,0
S0723,ai,0,0.0,0,0,0
S0724,ai,0,0.0,0,0,0
S0725,ai,0,0.0,0,0,0
S0726,ai,0,0.0,0,0,0
S0727,ai,0,0.0,0,0,0
S0728,ai,0,0.0,0,0,0
S0729,ai,0,0.0,0,0,0
S0730,ai,1,53337.12,1,0,0
S0731,ai,0,0.0,0,0,0
S0732,ai,0,0.0,0,0,0
S0733,ai,0,0.0,0,0,0
S0734,ai,0,0.0,0,0,0
S0735,ai,0,0.0,0,0,0
S0736,ai,0,0.0,0,0,0
S0737,ai,1,40176.5,1,0,0
S0738,ai,0,0.0,0,0,0
S0739,ai,0,0.0,0,0,0
S0740,ai,0,0.0,0,0,0
S0741,ai,0,0.0,0,0,0
S0742,ai,0,0.0,0,0,0
S0743,ai,0,0.0,0,0,0
S0744,ai,0,0.0,0,0,0
S0745,ai,1,65553.97,1,0,0
S0746,ai,0,0.0,0,0,0
S0747,ai,0,0.0,0,0,0
S0748,ai,0,0.0,0,0,0
S0749,ai,0,0.0,0,0,0
S0750,ai,0,0.0,0,0,0
S0751,ai,0,0.0,0,0,0
S0752,ai,0,0.0,0,0,0
S0753,ai,1,46695.99,1,0,0
S0754,ai,0,0.0,0,0,0
S0755,ai,1,40169.95,1,0,0
S0756,ai,0,0.0,0,0,0
